,D,Delta,tl,K,tm,Vr,Ifull,IPSPint,Vreset,Ie_sig,Ifull_nA,Icrit_nA,fcrit,I0crit,A0crit,Icrit,fcrit_sim,fnet_full_theory,Ifull_nA_sim,fnet_full_sim,Ifull_sim,error_net_nmae,error_unit_nmae,Imin_theory,Imax_theory,applicability,performance
20,0.09,1.2,1.2,2.0,10.0,0.0,12.446173657729444,0.0104,-65.0,0.05515432893255071,1.6180025755048275,0.34375,327.50000000000006,0.1562,72.1839950584943,2.644230769230769,316.7417878397808,,1.1537500000000007,287.87419529644484,8.875000000000005,0.09060438543292429,0.12372557876050891,6.4442307692307725,10.444230769230776,0.39012345679012345,0.35477656074468633
21,0.09,1.2,1.2,3.0,10.0,0.0,13.039463006051754,0.0156,-65.0,0.05515432893255071,1.6951301907867284,0.2890625,317.30000000000007,0.11700000000000002,44.15808082736186,2.2235576923076925,306.192326554571,318.64575556076795,1.2190625000000008,236.7289370328077,9.377403846153852,0.09958560681903608,0.14717149779033753,5.223557692307695,13.039463006051754,0.5806451612903225,0.5228212605566886
22,0.09,1.2,1.2,5.0,10.0,0.0,13.681992229554734,0.026,-65.0,0.05515432893255071,1.7786589898421157,0.2421875,308.9000000000001,0.08540000000000003,24.122436909259076,1.8629807692307687,298.0156196622467,231.90833858625967,1.292187500000001,180.0128377274719,9.939903846153852,0.13198400660688042,0.15517987909129577,4.4629807692307715,13.681992229554734,0.678095238095238,0.5885975117103819
23,0.09,1.2,1.2,10.0,10.0,0.0,14.434583758028053,0.052000000000000005,-65.0,0.05515432893255071,1.876495888543647,0.203125,301.7000000000001,0.0587,11.119563126798003,1.5625,288.7444899644357,149.2727697869191,1.393125000000001,122.24481243573189,10.716346153846162,0.16566961268213465,0.14824389843935082,3.762500000000002,14.434583758028053,0.7596638655462185,0.6338106471725632
24,0.09,1.2,1.2,50.0,10.0,0.0,15.873018891952546,0.26,-65.0,0.05515432893255071,2.0634924559538312,0.15625,291.8,0.022400000000000003,2.058994101756756,1.2019230769230769,276.2919173782519,61.61278482704194,1.5762500000000013,55.10740228878686,12.125000000000009,0.18281170442205533,0.1098890286410708,2.601923076923078,15.873018891952546,0.871830985915493,0.7124500774123208
25,0.16,1.2,1.2,2.0,10.0,0.0,15.606400054980895,0.0104,-65.0,0.07353910524340096,2.0288320071475168,0.4375,330.7,0.1825,98.12517928176649,3.3653846153846154,320.7811580053706,,1.2075000000000007,300.58327033357705,9.288461538461544,,,,,,
26,0.16,1.2,1.2,3.0,10.0,0.0,16.504555027071554,0.0156,-65.0,0.07353910524340096,2.145592153519302,0.359375,320.00000000000006,0.1267,59.626278085907366,2.7644230769230766,309.2927514430447,,1.2993750000000008,251.45518656557456,9.995192307692314,0.27078674398945923,0.14739045583680827,8.664423076923082,13.864423076923087,0.1840425531914893,0.13420626945725905
27,0.16,1.2,1.2,5.0,10.0,0.0,17.442356232118186,0.026,-65.0,0.07353910524340096,2.267506310175364,0.296875,311.30000000000007,0.0827,32.95386257530842,2.2836538461538463,301.13469996589674,290.38960643694656,1.416875000000001,194.27653157776905,10.89903846153847,0.2821402683870389,0.17732422393538425,6.38365384615385,17.442356232118186,0.524107142857143,0.37623541290786455
28,0.16,1.2,1.2,10.0,10.0,0.0,18.514038916603976,0.052000000000000005,-65.0,0.07353910524340096,2.406825059158517,0.2421875,303.6,0.0446,15.20256531519967,1.8629807692307687,292.0190870318581,182.8544350188704,1.5721875000000012,134.0384044508151,12.093750000000009,0.2808695084128373,0.16651007966616516,5.1629807692307725,18.514038916603976,0.6774436090225563,0.48717035557897254
29,0.16,1.2,1.2,50.0,10.0,0.0,20.51823690541836,0.26,-65.0,0.07353910524340096,2.6673707977043866,0.171875,293.1,-0.007200000000003043,2.7582907869131774,1.3221153846153846,276.45272423012597,70.89320476994891,1.8618750000000015,59.96952312449579,14.322115384615396,0.23653392153931807,0.12160721541765636,3.3221153846153864,20.51823690541836,0.8461538461538461,0.6460097586975001
